,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101,102,103,104,105,106,107,108,109,110,111,112,113,114,115,116,117,118,119,120,121,122,123,124,125,126,127,128,129,130,131,132,133,134,135,136,137,138,139,140,141,142,143,144,145,146,147,148,149,150,151,152,153,154,155,156,157,158,159,160,161,162
Arizona Diamondbacks,988.15,1001.89,992.48,1003.51,1014.07,1023.22,1013.5,1021.71,1011.23,1001.27,989.37,998.22,1012.74,998.76,1008.02,1018.41,1030.68,1040.63,1048.62,1039.22,1028.86,1038.84,1048.07,1037.27,1025.13,1010.9,1001.83,1011.64,1002.19,1013.31,1024.86,1015.98,1004.48,1015.11,1007.45,1020.59,1009.05,1020.59,1011.62,1023.97,1011.98,1021.23,1010.01,1019.36,1026.27,1011.41,1015.94,1028.03,1019.32,1010.3,1002.95,995.96,989.3,999.09,986.22,968.49,959.57,949.73,961.03,973.87,982.64,990.96,981.98,964.94,956.58,968.24,981.48,990.82,1002.45,1011.0,997.2,989.26,977.6,991.13,999.16,1004.81,991.0,1003.39,1010.75,995.85,986.58,977.78,968.67,978.28,990.39,980.51,967.71,954.47,967.8,956.21,,,,,,,,970.3,986.15,995.29,986.67,979.17,972.65,,,,,,,,,,955.15,945.38,938.69,947.55,953.63,962.6,,,,,,,,939.0,949.41,959.3,970.26,988.28,977.28,,,,,,,,1001.97,1013.61,1024.63,1038.63,1050.81,1040.6,,,,,,,1040.07,1047.59,1034.29,1023.86,1034.79,1050.86,1059.62,1050.34,1035.92,,,
Athletics,990.4,1004.75,1014.09,1004.58,982.96,973.01,960.05,970.5,980.32,965.2,958.56,974.95,967.84,960.81,972.71,960.81,975.41,983.83,995.78,986.59,997.1,979.34,970.08,982.17,991.8,998.28,980.63,987.65,996.77,978.08,992.05,1002.57,1012.4,999.55,1006.9,1017.19,1008.66,1001.26,988.86,1002.39,988.51,1008.51,997.5,980.24,967.59,960.48,953.72,945.03,936.02,925.38,915.46,910.72,905.33,918.58,907.88,901.98,888.85,881.27,875.65,868.81,861.85,854.88,849.09,874.98,885.7,876.95,890.48,882.51,876.14,870.07,882.49,896.23,906.36,920.37,910.67,903.05,917.21,930.66,922.27,913.67,905.24,920.02,,,,,,,,950.74,938.83,928.48,944.12,929.69,938.68,933.43,946.0,960.22,,,,,,,,,,,986.94,1000.71,1010.12,1018.55,1003.04,991.43,,,,,,,1003.82,1014.93,999.64,1013.08,1024.01,1009.28,,,,,,,1032.1,1040.96,1053.96,1043.02,1030.37,1020.84,,,,,,,1009.91,999.62,1010.64,1020.66,1032.26,1041.0,,,,,,,1035.0,1046.15,1030.9,1039.42,1029.05,1015.16
Atlanta Braves,989.6,981.33,973.47,963.29,954.13,947.28,941.31,960.14,949.73,961.99,955.05,967.04,957.03,966.66,955.13,968.3,958.96,950.84,961.1,969.99,980.73,989.33,975.61,986.08,1000.31,1009.38,999.57,1005.83,1013.15,1000.29,993.25,982.89,994.27,1005.88,1014.41,1004.91,1013.49,1001.96,1008.57,997.26,1004.61,1012.88,1001.88,1010.3,1019.55,1009.96,1022.31,1010.87,1000.95,991.37,1003.74,993.14,986.03,979.85,996.87,984.47,996.03,985.44,972.6,963.83,955.51,948.27,941.39,934.84,951.44,943.19,957.21,966.18,972.2,950.18,961.76,976.82,991.83,978.52,990.57,979.23,988.89,999.73,988.31,977.62,962.39,977.46,970.18,959.91,973.6,963.11,954.93,945.75,938.44,,,,,,,955.43,946.63,938.98,950.61,934.98,922.97,,,,,,,,,,916.44,911.34,907.77,921.36,914.07,931.8,944.23,959.95,,,,,,,990.36,998.01,1005.28,991.42,976.78,985.65,,,,,,,,,,,997.33,982.12,961.97,974.06,963.19,955.76,942.48,932.99,947.46,,,,,,,,1032.3,1038.02,1025.88,1011.67,1001.79,1012.48
Baltimore Orioles,1016.0,1002.02,1013.09,1002.77,1012.56,1000.97,989.23,976.06,990.3,979.53,991.43,982.58,968.06,978.14,970.12,960.86,977.59,989.54,977.99,990.35,965.59,951.66,943.35,953.06,946.59,938.74,929.76,941.6,929.01,940.89,953.57,944.04,934.47,922.15,913.97,906.25,917.3,906.89,918.75,911.9,905.91,899.25,891.14,881.34,870.84,864.78,857.94,873.36,860.75,855.52,868.11,883.45,899.37,893.77,888.84,898.55,908.61,917.32,931.59,942.12,952.13,941.41,950.16,936.63,930.93,952.71,945.7,956.62,966.08,981.59,973.05,988.46,980.59,994.5,1005.38,991.27,983.13,996.65,987.66,974.47,1001.06,990.22,1004.83,,,,,,,1003.23,1012.89,1023.54,1033.44,1019.3,1002.92,,,,,,,,959.1,976.8,984.59,1002.51,1024.03,1033.73,1025.34,,,,,,,1015.15,999.81,991.21,984.72,996.13,1007.99,,,,,,1038.95,1027.08,1017.63,1026.26,1018.84,1009.21,1002.61,996.32,,,,,,,1020.7,1028.93,1017.37,1025.94,1034.08,1041.81,,,,,,,1020.69,1031.56,1020.41,1009.33,1021.15,1008.34,1016.51,,,
Boston Red Sox,1010.4,999.38,990.61,982.29,972.5,984.09,995.83,1008.03,1017.0,1033.26,1020.83,1008.37,999.86,1009.38,989.63,979.73,988.68,968.87,980.55,989.84,1000.45,1006.81,992.13,999.5,1012.64,1002.44,994.33,986.28,998.95,1015.9,1028.15,1017.44,1006.32,1017.29,1007.18,997.58,985.1,995.01,1006.71,999.1,1017.01,1027.35,1011.44,1004.28,997.46,988.21,997.8,985.45,997.03,1007.99,997.68,1010.29,1015.52,1002.93,987.59,978.49,967.49,959.41,971.81,960.25,970.84,961.67,952.96,963.14,956.58,971.15,986.03,978.99,991.51,1002.4,1013.6,1024.27,1035.34,1043.29,1025.78,1034.25,1043.23,1033.41,1021.55,1009.27,1000.24,990.11,976.54,999.27,990.2,1005.96,1016.23,1005.15,,,,1041.52,1048.41,1054.89,1063.38,1071.44,1079.09,1087.69,,,,,,,1052.73,1061.73,1069.53,,,,1084.68,1093.63,1102.63,1110.95,1119.4,1104.94,,,,,,,1091.91,1099.0,1086.53,1074.51,1064.94,,,,,,,,,1097.95,1080.44,1088.84,1095.21,1102.28,1083.2,,,,,,,1067.1,1057.36,1067.35,1057.88,1066.49,1056.21,,,,,,,1072.1,1060.23,1066.5
Chicago Cubs,989.6,979.82,991.67,977.93,987.34,976.31,997.93,1007.88,1020.84,1031.73,1045.46,1036.61,1050.52,1061.08,1048.57,1037.93,1059.52,1068.29,1055.7,1065.28,1056.0,1065.4,1075.76,1065.78,1074.17,1082.14,1090.63,1074.15,1062.64,1073.26,1061.33,1069.8,1082.77,1091.05,1076.44,1088.76,1071.07,1060.86,1049.06,1058.6,1047.73,1054.41,1059.77,1046.17,1056.66,1063.42,1069.82,1057.82,1070.65,1076.21,1086.3,1073.71,1081.56,1084.93,1087.92,1090.82,1076.6,1084.35,1092.92,1101.8,1089.25,1098.97,1088.73,1100.64,1088.59,1077.46,1086.37,1071.34,1077.85,1066.46,1073.2,1079.62,1088.04,1077.74,1062.33,1070.64,1052.69,1039.35,1030.85,1046.44,1056.77,1047.35,,,1063.01,1068.89,1074.51,1086.87,1075.25,1089.6,,,,,,,1081.74,1094.36,1081.32,1062.98,1073.56,1059.77,,,,,,,1064.91,1054.91,1063.75,1053.6,1041.33,1053.03,,,,,,,1019.03,1026.95,1033.83,1025.8,1039.69,1054.05,1065.56,1057.73,,,,,,,,,,1042.14,1049.4,1035.78,1044.49,1032.49,1018.94,,,,1033.36,1022.88,1030.52,,,,,,,,1002.15,1014.73,1002.8,1018.04,1027.24,1034.63
Chicago White Sox,1013.6,1004.11,995.1,1009.11,995.21,982.26,971.95,960.76,953.12,944.72,936.74,926.4,946.15,956.05,947.1,932.5,924.08,912.13,901.52,895.16,909.84,902.47,894.04,885.4,898.06,891.58,909.23,902.21,893.76,887.42,907.17,922.3,913.57,925.17,917.68,911.68,905.95,896.0,908.32,899.0,909.4,922.8,933.56,921.52,911.03,904.27,897.87,891.35,904.09,898.7,911.99,926.47,918.77,913.3,907.59,924.78,915.07,905.01,896.3,887.87,909.02,904.32,917.4,932.84,945.35,937.03,949.64,938.79,932.67,925.42,919.11,913.09,901.2,895.21,888.97,906.93,898.14,911.18,898.79,891.43,906.33,898.88,910.0,922.52,,,,,,,905.72,899.66,913.05,904.66,914.98,905.07,897.77,,,,,,,978.04,968.24,961.53,975.6,967.06,982.76,,,,,,,956.63,949.12,961.2,953.07,964.74,956.43,,,,,,,920.1,931.72,945.7,963.02,955.79,942.66,933.66,924.2,918.35,930.83,,,,,,,,971.0,980.42,991.8,,,,957.03,949.78,942.25,951.83,941.0,933.04,,,,,,
Cincinnati Reds,990.4,999.69,989.31,1007.48,998.48,989.93,980.63,971.8,983.53,970.47,982.56,993.06,984.76,994.09,1003.64,1013.31,1024.32,1013.95,1002.52,1014.07,1001.71,1026.47,1014.32,1004.64,1014.58,1019.95,1025.56,1033.16,1041.15,1025.64,1009.44,1023.37,1033.39,1018.74,1006.89,995.28,986.75,996.25,987.67,977.98,990.56,978.42,965.02,954.26,966.3,976.67,988.31,998.42,1007.9,996.38,984.4,974.31,986.9,979.05,990.78,1003.51,994.6,1008.82,1001.07,992.5,985.06,996.54,984.04,993.02,1010.06,1018.42,1028.76,1036.99,1020.09,1009.37,1028.92,1041.38,1048.52,1055.93,1038.69,1026.34,1017.91,1029.24,1042.04,1050.78,1037.25,1049.35,1038.04,1045.83,,,,,,,1010.05,994.41,1007.75,1021.0,1007.74,1012.6,1017.69,,,,,,,1019.59,1029.89,1037.47,1026.38,1017.55,1028.45,1016.59,1022.87,1010.21,,,,,,,,1007.62,1022.38,1038.91,1033.17,1028.15,1040.93,,,,,,,,,,983.3,972.48,982.2,992.6,983.49,974.25,966.28,978.14,987.58,,,,,,,,,,988.05,1000.16,1011.56,1020.63,1009.8,1000.41,1009.1,,,
Cleveland Guardians,1010.4,1001.07,1012.2,1001.05,989.27,980.95,991.36,978.87,968.74,977.14,985.12,995.46,1009.29,1019.04,1008.31,1017.57,1000.84,988.89,998.81,1008.14,1015.57,1026.21,1035.42,1024.15,1032.2,1019.53,1002.58,985.85,995.09,1004.67,1012.96,1002.27,1011.36,1019.24,1009.5,1023.16,1031.52,1045.38,1032.62,1023.01,1033.98,1042.16,1028.79,1018.42,1006.78,996.67,989.62,1003.48,1020.67,1031.9,1042.52,1031.07,1019.31,1009.09,1021.0,1008.81,1017.42,1025.56,1018.5,1032.35,1022.94,1013.9,1005.36,1016.48,1006.14,997.91,1014.81,1000.15,990.12,976.26,986.25,996.61,987.98,974.53,982.92,991.52,981.08,991.0,979.11,968.98,960.79,950.69,,,,925.63,919.71,912.0,,,,,,,,981.5,967.58,980.28,992.63,1002.6,1010.53,1000.46,,,,977.9,986.94,994.85,1002.25,1009.29,998.39,,,,,,,1037.2,1020.42,1032.33,1020.93,1003.85,994.82,,,,,,,933.93,945.35,954.44,965.34,975.71,967.26,,,,,,,,1012.74,1021.98,1012.38,1020.86,1031.13,1039.37,1046.52,,,,,,,,1080.59,1087.63,1074.14,1060.44,1067.94,1075.07
Colorado Rockies,991.2,1000.45,990.83,979.48,969.62,961.7,951.25,941.43,956.55,944.97,928.18,943.21,933.08,926.83,918.9,912.04,904.43,898.8,891.4,884.37,896.27,888.78,880.37,871.83,866.46,860.85,853.25,846.99,839.67,852.53,865.63,859.23,853.6,846.99,842.86,836.89,830.61,825.62,815.05,835.7,830.82,825.28,819.18,812.27,827.13,822.6,817.69,813.88,809.93,806.67,821.63,815.53,812.65,809.28,806.29,803.39,799.67,794.88,791.45,804.89,816.62,827.81,823.93,818.63,813.28,809.5,805.19,819.28,810.31,804.29,826.31,838.67,852.34,863.33,855.25,847.22,841.57,855.38,851.07,845.2,841.27,836.65,,,842.71,839.06,853.42,845.92,834.9,846.9,,,,,,,844.17,859.53,850.48,842.7,857.77,873.99,,,,,,,868.03,881.85,873.52,862.95,856.51,845.47,,,,,,,834.64,847.02,861.02,872.23,884.92,876.51,893.58,886.17,,,,,,,855.6,851.14,864.45,856.23,849.97,844.48,859.04,852.58,843.87,,,,,,,,812.16,805.68,800.41,811.74,803.69,815.88,,,,,,
